"Annee","jour","mois","Arneguy","Banca","Iraty","Sare","Urrugne","TotalJ"
2018,25,10,1438,333,0,0,10,1781
2018,26,10,70,0,0,0,0,70
2018,27,10,0,0,0,0,0,0
2018,28,10,520,72,0,0,860,1452
2018,29,10,0,150,0,0,0,150
2018,30,10,43,1423,0,0,17670,19136
2018,31,10,0,8520,0,0,35300,43820
2018,1,11,0,1,0,0,0,1
2018,2,11,0,9,0,40,0,49
2018,3,11,61303,117003,0,141095,20789,340190
2018,4,11,13501,272757,0,113244,898790,1298292
2018,5,11,0,916,0,61,1523,2500
2018,6,11,0,0,0,0,0,0
2018,7,11,0,0,0,0,0,0
2018,8,11,0,28,0,50,0,78
2018,9,11,0,0,0,0,0,0
2018,10,11,0,0,0,0,0,0
2018,11,11,17,27,0,0,0,44
2019,15,10,30,4,0,7,0,41
2019,16,10,84,100,0,2,158,344
2019,17,10,84,100,0,2,44,230
2019,18,10,15,0,0,0,0,15
2019,19,10,112,242,0,171,689,1214
2019,20,10,0,0,0,0,0,0
2019,21,10,1703,2717,0,628,0,5048
2019,22,10,4908,5759,0,3951,17994,32612
2019,23,10,957,149,0,5,69,1180
2019,24,10,5,0,0,0,0,5
2019,25,10,757,8483,0,10205,56701,76146
2019,26,10,548,3473,0,239,113668,117928
2019,27,10,498,4582,0,443,62196,67719
2019,28,10,2076,1766,0,800,10446,15088
2019,29,10,2500,6977,0,3575,4257,17309
2019,30,10,3105,2254,0,2806,8841,17006
2019,31,10,0,0,0,0,0,0
2019,1,11,0,0,0,0,0,0
2019,2,11,0,0,0,0,0,0
2019,3,11,0,0,0,0,0,0
2019,4,11,0,0,0,0,0,0
2019,5,11,0,0,0,0,0,0
2019,6,11,9,60,0,0,0,69
2019,7,11,95,0,0,0,0,95
2019,8,11,0,0,0,0,0,0
2019,9,11,0,1859,0,1110,0,2969
2019,10,11,0,0,0,0,3,3
2019,11,11,94,66,0,250,200,610
2020,15,10,1193,706,0,419,0,2318
2020,16,10,558,306,0,1132,387,2383
2020,17,10,2145,1605,0,3926,20795,28471
2020,18,10,2002,2898,0,5241,11000,21141
2020,19,10,1500,1838,0,6090,27924,37352
2020,20,10,18,25,0,2,0,45
2020,21,10,18,0,0,0,0,18
2020,22,10,1915,4658,0,250,259,7082
2020,23,10,84,64,0,81,0,229
2020,24,10,3155,3030,0,874,20332,27391
2020,25,10,247,382,0,288,0,917
2020,26,10,8,0,0,0,0,8
2020,27,10,0,42,0,0,0,42
2020,28,10,170,923,0,0,0,1093
2020,29,10,324295,158232,0,66509,45207,594243
2020,30,10,34460,359634,0,276494,90867,761455
2020,31,10,1370,2966,0,105,13695,18136
2020,1,11,307,74,0,17,44,442
2020,2,11,16585,8612,0,0,11585,36782
2020,3,11,0,0,0,0,0,0
2020,4,11,0,9572,0,20583,0,30155
2020,5,11,108500,115511,0,149542,388885,762438
2020,6,11,0,0,0,11,2676,2687
2020,7,11,0,0,0,0,28,28
2020,8,11,245,64,0,230,400,939
2020,9,11,1200,2189,0,0,2493,5882
2020,10,11,0,0,0,2705,14940,17645
2020,11,11,9760,9853,0,12190,65701,97504
2021,15,10,3200,488,0,90,5,3783
2021,16,10,10,12,0,23,48,93
2021,17,10,274,152,0,25,894,1345
2021,18,10,210,271,0,11,839,1331
2021,19,10,29,20,0,0,853,902
2021,20,10,4,10,0,0,0,14
2021,21,10,0,0,0,0,0,0
2021,22,10,20,0,0,0,350,370
2021,23,10,6662,2650,0,11588,3134,24034
2021,24,10,1780,2041,0,1401,111011,116233
2021,25,10,1680,1864,0,2054,2377,7975
